Model,mAP_box,mAP_mask,time_avg,time_min,time_max,time_std
yolo11n-seg.onnx,0.5047455553067681,0.3580624946934931,13.096689004451036,8.407499874010682,350.008400157094,33.87654920149088
yolo11n-seg_fp16.onnx,0.5047455553067681,0.3580624946934931,9.263409008271992,7.480500033125281,102.19189990311861,9.36355070247102
yolo11n-seg_fp32.onnx,0.5047455553067681,0.3580624946934931,8.897720007225871,7.2910001035779715,92.55830012261868,8.419401229301885
yolo11n-seg_int8.onnx,0.48609343345779793,0.35720628702636864,73.79420799436048,64.16360009461641,119.1499000415206,10.883340827740358
yolo11n-seg_pruned_10pct.onnx,0.5037777854102177,0.35938420237943286,10.653545022942126,8.52670008316636,103.69880008511245,9.380569079714798
yolo11n-seg_pruned_15pct.onnx,0.5065641228007599,0.3601006915213359,10.37957901135087,8.403100073337555,100.93789990060031,9.129261903282949
yolo11n-seg_pruned_20pct.onnx,0.5044925865617307,0.3604105111464819,10.996756008826196,8.360899984836578,115.55429990403354,10.541214972358167
yolo11n-seg_pruned_25pct.onnx,0.498736165747873,0.3611495263450587,11.07069298857823,8.632600074633956,92.56300004199147,8.238599039579606
yolo11n-seg_pruned_30pct.onnx,0.49468402189480143,0.36170900942059103,10.757442025933415,8.694800082594156,92.80209988355637,8.275584650692684
yolo11n-seg_pruned_35pct.onnx,0.4884052134215046,0.3581388702782398,10.981962017249316,8.155300049111247,94.75850011222064,8.469489962254306
yolo11n-seg_pruned_40pct.onnx,0.47508402455005655,0.3404610153106885,10.470085993874818,8.218100061640143,89.38360004685819,7.975051395950808
yolo11n-seg_pruned_45pct.onnx,0.43552011168082816,0.3188224646030327,10.268771997652948,8.299799868836999,90.75939981266856,8.12724085356044
yolo11n-seg_pruned_50pct.onnx,0.36194399455155724,0.2622813187064054,10.391832992900163,7.965800119563937,91.46180003881454,8.185406035993122
yolo11n-seg_pruned_5pct.onnx,0.5032974328419109,0.3578234256131862,10.256911993492395,8.218799950554967,88.34600006230175,7.896215290233409
