time_s,power_watts
0,1.553
0.5,1.563
1.0,1.563
1.5,1.567
2.0,1.567
2.5,1.565
3.0,1.565
3.5,1.558
4.0,1.558
4.5,1.56
5.0,1.56
5.5,1.564
6.0,1.564
6.5,1.569
7.0,1.569
7.5,1.57
8.0,1.57
8.5,1.562
9.0,1.562
9.5,1.566
10.0,1.566
10.5,1.563
11.0,1.563
11.5,1.562
12.0,1.562
12.5,1.565
13.0,1.565
13.5,4.89
14.0,11.532
14.5,18.55
15.0,20.237
15.5,22.574
16.0,24.066
16.5,18.158
17.0,17.961
17.5,17.961
18.0,17.957
18.5,17.957
19.0,17.933
19.5,17.933
20.0,17.935
20.5,17.935
21.0,6.394
21.5,6.394
22.0,4.014
22.5,4.014
23.0,1.611
23.5,1.611
24.0,1.574
24.5,1.574
25.0,1.555
25.5,1.555
26.0,1.555
26.5,2.076
27.0,6.803
27.5,21.864
28.0,26.061
28.5,22.934
29.0,17.772
29.5,17.772
30.0,10.283
30.5,10.283
31.0,7.621
31.5,7.621
32.0,3.492
32.5,3.492
33.0,1.808
33.5,1.808
34.0,1.584
34.5,1.584
35.0,1.578
35.5,1.578
36.0,1.58
36.5,1.58
37.0,1.586
37.5,1.586
38.0,1.584
38.5,1.795
39.0,2.656
39.5,13.207
40.0,12.091
40.5,11.967
41.0,12.067
41.5,9.11
42.0,12.642
42.5,12.606
43.0,12.546
43.5,12.544
44.0,12.029
44.5,11.309
45.0,11.814
45.5,12.427
46.0,12.309
46.5,12.706
47.0,14.829
47.5,14.207
48.0,14.207
48.5,10.773
49.0,10.773
49.5,6.871
50.0,6.871
50.5,2.288
51.0,2.288
51.5,1.599
52.0,1.599
52.5,1.589
53.0,1.589
53.5,1.574
54.0,1.574
54.5,1.569
55.0,1.569
55.5,1.58
56.0,1.58
56.5,1.585
57.0,3.417
57.5,14.161
58.0,25.358
58.5,25.692
59.0,21.588
59.5,16.422
60.0,16.422
60.5,10.718
61.0,10.718
61.5,7.6
62.0,7.6
62.5,3.195
63.0,3.195
63.5,1.773
64.0,1.773
64.5,1.607
65.0,1.607
65.5,1.589
66.0,1.589
66.5,1.582
67.0,1.582
67.5,1.586
68.0,1.586
68.5,1.594
69.0,2.154
69.5,6.595
70.0,22.56
70.5,25.356
71.0,23.86
71.5,18.498
72.0,17.031
72.5,17.031
73.0,9.385
73.5,9.385
74.0,6.556
74.5,6.556
75.0,3.136
75.5,3.136
76.0,1.867
76.5,1.867
77.0,1.625
77.5,1.625
78.0,1.596
78.5,1.596
79.0,1.593
79.5,1.593
80.0,1.592
80.5,1.592
81.0,1.668
81.5,4.523
82.0,17.942
82.5,25.225
83.0,24.671
83.5,20.273
84.0,17.191
84.5,17.191
85.0,10.291
85.5,10.291
86.0,7.37
86.5,7.37
87.0,3.416
87.5,3.416
88.0,1.833
88.5,1.833
89.0,1.619
89.5,1.619
90.0,1.591
90.5,1.591
91.0,1.591
91.5,1.591
92.0,1.595
92.5,1.595
93.0,1.599
93.5,2.39
94.0,6.674
94.5,13.678
95.0,18.243
95.5,17.695
96.0,15.831
96.5,14.097
97.0,14.097
97.5,5.061
98.0,5.061
98.5,3.609
99.0,3.609
99.5,1.636
100.0,1.636
100.5,1.62
101.0,1.62
101.5,1.598
102.0,1.598
102.5,1.597
103.0,1.597
103.5,1.603
104.0,1.603
104.5,1.607
105.0,1.607
105.5,1.849
106.0,5.78
106.5,19.099
107.0,25.057
107.5,23.405
108.0,18.711
108.5,16.698
109.0,16.698
109.5,10.287
110.0,10.287
110.5,5.191
111.0,5.191
111.5,3.543
112.0,3.543
112.5,1.766
113.0,1.766
113.5,1.617
114.0,1.617
114.5,1.601
115.0,1.601
115.5,1.6
116.0,1.6
116.5,1.595
117.0,1.595
117.5,1.829
118.0,5.577
118.5,18.562
119.0,24.704
119.5,22.378
120.0,17.666
120.5,17.666
121.0,10.208
121.5,10.208
122.0,7.246
122.5,7.246
123.0,3.342
123.5,3.342
124.0,1.837
124.5,1.837
125.0,1.623
125.5,1.623
126.0,1.598
126.5,1.598
127.0,1.602
127.5,1.602
128.0,1.605
128.5,1.605
129.0,1.604
129.5,2.002
130.0,3.366
130.5,10.279
131.0,15.307
131.5,15.459
132.0,14.745
132.5,14.745
133.0,6.88
133.5,6.88
134.0,4.095
134.5,4.095
135.0,1.664
135.5,1.664
136.0,1.628
136.5,1.628
137.0,1.598
137.5,1.598
138.0,1.598
138.5,1.598
139.0,1.604
139.5,1.604
140.0,1.613
140.5,1.613
141.0,1.613
141.5,1.685
142.0,1.713
142.5,1.794
143.0,1.794
143.5,1.623
